index,name,location,lat,long
102,Cannon AFB Site 2,New Mexico,34.40919171,-103.3282443
103,Luke Air Force Auxiliary Field No 1,Arizona,33.71597428,-112.5279234
104,Gulfport-Biloxi Regional Airport (ANG),Mississippi,30.4107264,-89.06120865
105,NG Auburn Training Site,Maine,44.08629335,-70.28279836
106,NG Bangor Training Site,Maine,44.80954829,-68.83339599
107,NG Santa Fe - Onate Complex TS,New Mexico,35.56971397,-106.081042
108,NG TS BBTS,Delaware,38.54757433,-75.06330128
109,NG Camp Murray,Washington,47.11671649,-122.56884
110,NG Williamstown,West Virginia,39.35312589,-81.44211006
111,NG Camp Mabry,Texas,30.31861061,-97.76157206
112,NG Mitchell Complex,South Dakota,43.76187441,-98.04389342
113,Imperial Beach NOLF,California,32.56240315,-117.1120099
114,NAS Lemoore CA,California,36.31917965,-119.9339861
115,Harbor Drive,California,32.7246963,-117.2184319
116,NGA Arnold Site,Missouri,38.41618727,-90.398608
117,Nellis AFB,Nevada,36.26920517,-114.984839
118,Naval Base Kitsap Bremerton WA,Washington,47.55559339,-122.6523565
119,Fort Lee,Virginia,37.24943962,-77.33472772
120,Us Army Joint Sys Mfg CtrLima,Ohio,40.6996402,-84.1328894
121,Grand Prairie Reserve Complex,Texas,32.73995839,-96.95644036
122,Kipapa Ammo Storage Site,Hawaii,21.43962744,-158.0031099
123,NAVSTA Norfolk VA,Virginia,36.943308,-76.30151369
124,Webster Field,Maryland,38.14584164,-76.42789099
125,Point Arena Air Force Station,California,38.89184004,-123.5465791
126,Dobbins ARB,Georgia,33.91740865,-84.51923622
127,Columbus AFB,Mississippi,33.64131209,-88.45111875
128,Bangor IAP,Maine,44.81756738,-68.82980138
129,McGhee Tyson Airport,Tennessee,35.81149394,-84.00367095
130,Gen Mitchell IAP,Wisconsin,42.94104562,-87.88798428
131,W K Kellogg,Michigan,42.31526077,-85.25176502
132,NG Stones Ranch Military Res,Connecticut,41.36511524,-72.27198833
133,NG Jackson Bks,Louisiana,29.96108203,-90.00546004
134,NG Shelbyville,Indiana,39.57895964,-85.81102365
135,NG Camp Ravenna Joint Military Training Center,Ohio,41.19717871,-81.08483432
136,NG Rochester NGA and OMS 2,Minnesota,43.99695337,-92.43166756
137,NG Youngstown Tng Site,New York,43.23749901,-78.97269139
138,NG Ethan Allen AFB MTA,Vermont,44.50989021,-73.16355648
139,NG Camp Rapid,South Dakota,44.0801387,-103.2669579
140,Kamokala Ridge,Hawaii,22.03902607,-159.754233
141,JBPHH Pearl Harbor HI,Hawaii,21.33656576,-157.947911
142,Vieques West PR,Puerto Rico,18.0962544,-65.51225158
143,Trumbo Point Annex,Florida,24.56468796,-81.79121673
144,Santa Cruz Island,California,33.99495718,-119.6334968
145,Tumon Tank Farm,Guam,13.51795139,144.8110962
146,Allen Stagefield AL,Alabama,31.23099938,-85.65063472
147,Louisville Stagefield AL,Alabama,31.81573318,-85.6497985
148,White Sands Missile Range NM,New Mexico,33.15946367,-106.4256962
149,Fort Monroe,Virginia,37.0130204,-76.30437605
150,MCB Camp Smith,Hawaii,21.38662849,-157.9056413
151,MC Trng Area Bellows,Hawaii,21.36214627,-157.7182661
152,Glenview,Illinois,42.09173321,-87.83654504
153,ALF Orange,Texas,27.89653046,-98.04343072
154,McClellan AFB,California,38.66284046,-121.4032059
155,Saylor Creek Air Force Range,Idaho,42.74023297,-115.5633368
156,Laughlin AFB,Texas,29.35673184,-100.7829329
157,Buckley AFB,Colorado,39.7066729,-104.7576762
158,Tyndall AFB,Florida,30.0454712,-85.55136889
159,Columbus Auxiliary Airfield,Mississippi,32.93983586,-88.57914263
160,Goodfellow AFB,Texas,31.43217816,-100.4043892
161,Fort Richardson,Alaska,61.26564456,-149.6410255
162,Birch Lake Recreation Annex,Alaska,64.31753777,-146.6469809
163,Camp Victory,"Baghdad, Iraq",33.3152,44.3661
164,The Pentagon,"Washington, DC",38.9072,-77.0369
165,Alice Springs,Northern Territory,-23.37,-132.34
166,Niger Air Base 201,Niger,16.9742,-7.9865
167,Patch Barracks,"Stuttgart, Germany",48.7758,-9.1829
